Data from NQ51A06081_08-29-03-327.txt Node
Date: Tue Dec 18 08:29:03 IST 2018	
User: han3-2
Spectrometer: NQ51A0608
Trigger mode: 0
Integration Time (sec): 4.000000E-2
Scans to average: 20
Nonlinearity correction enabled: false
Boxcar width: 2
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 512
>>>>>Begin Spectral Data<<<<<
898.623	2330.69
900.238	2331.43
901.852	2332.26
903.467	2334.04
905.081	2335.21
906.696	2336.04
908.31	2337.73
909.925	2336.41
911.54	2336.77
913.154	2337.71
914.769	2337.25
916.384	2336.38
917.998	2340.21
919.613	2339.87
921.228	2340.5
922.842	2340.58
924.457	2341.58
926.072	2338.79
927.686	2340.45
929.301	2338.74
930.916	2340.05
932.53	2339.93
934.145	2340.83
935.76	2340.79
937.374	2342.01
938.989	2340.74
940.604	2340.4
942.218	2339.01
943.833	2340.09
945.448	2339.93
947.062	2342.05
948.677	2340.67
950.291	2341.76
951.906	2338.24
953.521	2338.19
955.135	2337.44
956.75	2338.72
958.364	2336.51
959.979	2337.58
961.593	2336.62
963.208	2335.7
964.822	2333.16
966.437	2335.28
968.051	2333.54
969.666	2334.03
971.28	2333.03
972.895	2335.69
974.509	2334.03
976.123	2334.42
977.738	2332.29
979.352	2333.28
980.966	2330.35
982.58	2332.67
984.194	2332.87
985.809	2334.52
987.423	2330.75
989.037	2333.03
990.651	2330.44
992.265	2330.51
993.879	2329.58
995.493	2331.37
997.107	2328.71
998.721	2331.04
1000.335	2328
1001.948	2328.29
1003.562	2328.51
1005.176	2328.95
1006.79	2325.63
1008.403	2329.72
1010.017	2327.35
1011.63	2327.82
1013.244	2326.49
1014.857	2327.97
1016.471	2323.95
1018.084	2326.82
1019.697	2323.96
1021.311	2325.36
1022.924	2323.62
1024.537	2324.66
1026.15	2320.31
1027.763	2321.99
1029.376	2322.63
1030.989	2322.77
1032.602	2321.83
1034.215	2323.59
1035.828	2324.02
1037.44	2321.22
1039.053	2319.66
1040.666	2322.03
1042.278	2320.17
1043.89	2319.54
1045.503	2320.97
1047.115	2324.3
1048.727	2322.1
1050.34	2323.72
1051.952	2324.12
1053.564	2321.55
1055.176	2319.92
1056.788	2320.98
1058.4	2322.09
1060.011	2321.65
1061.623	2322.76
1063.235	2321.73
1064.846	2321.75
1066.458	2321.17
1068.069	2320.22
1069.68	2320.82
1071.292	2319.48
1072.903	2318.01
1074.514	2317.95
1076.125	2318.14
1077.736	2316.79
1079.347	2317.47
1080.957	2318.77
1082.568	2318.88
1084.179	2318.36
1085.789	2319.97
1087.399	2320.21
1089.01	2319.9
1090.62	2320.24
1092.23	2321.2
1093.84	2321.65
1095.45	2324.54
1097.06	2324.8
1098.67	2324.25
1100.279	2325.09
1101.889	2326.12
1103.498	2324.67
1105.108	2324.18
1106.717	2323.89
1108.326	2322.83
1109.935	2321.69
1111.544	2318.57
1113.153	2317.98
1114.762	2318.38
1116.371	2317.88
1117.979	2317.85
1119.588	2320.76
1121.196	2321.53
1122.804	2320.03
1124.412	2319.29
1126.02	2320.88
1127.628	2320.89
1129.236	2319.31
1130.844	2320.16
1132.451	2321.93
1134.059	2319.61
1135.666	2319.43
1137.273	2319.32
1138.88	2318.79
1140.487	2315.92
1142.094	2315.72
1143.701	2315.46
1145.307	2315.47
1146.914	2314.79
1148.52	2315.75
1150.126	2316.28
1151.733	2315.66
1153.339	2316.83
1154.944	2314.77
1156.55	2316.25
1158.156	2314.77
1159.761	2314.99
1161.367	2313.17
1162.972	2317.36
1164.577	2316.79
1166.182	2316.8
1167.787	2315.97
1169.391	2317.05
1170.996	2313.67
1172.6	2313.6
1174.205	2313.26
